id,text
1261605416993280000,~ Wear a mask ~ Thou shalt not covid thy neighbor
1261553342385459202,"I'm tired of hearing about wearing masks in public. It's been known for months now that Covid-19 can get in through your eyes. Also, this mass lockdown is fucking with my food. If it continues for several more months, I'll go hungry. So will many others. This is sadistic."
1261563646884397056,Ranbir Kapoor-Alia Bhatt Ask Paparazzi To Stay Safe And Wear Masks Amid COVID-19 Pandemic #bhatt #Covid #Kapoor #masks #pandemic #paparazzi #ranbir  
1261463200349908993, It’s fake news. She knows because she’s out in public without a mask and hasn’t died of Covid-19.* *yet
1261475343870971905,Why is Pelosi taking off her mask?
1261539840849514497,"The US govt's goal to encourage the continued use of facial masks is to reinforce fear so that their own risk management programs can be intensified... this in pure terms, is nothing short of psychological manipulation and it has nothing to do with health or keeping people safe.."
1261786335985229824,Something tells me we will be wearing a mask until a vaccine is developed.  AI models suggest masking policy more cost-effective than lockdown  via
1261590470318264320,"WHO stress the central role of behavioural science in responding to COVID 19:  After all, until we have a vaccine, all our interventions depend on changing behaviour: staying home, physical distancing, quarantining, wearing masks, observing hygiene... "
1261723390928355330,"Because Macau has been using masks as its primary response since Jan. 23, and despite being the world’s most crowded jurisdiction (pop. 600,000, with a land border to China), it has had zero COVID-19 deaths and today has only 2 active cases."
1261743657629057025," Dear sir, My brother is ayush doctor in manikpur CHC(karvi dis.) working daily for 3 months without break in COVID-19 -Hospital incharge is corrupt -not providing mask and sanitizer -other staff not called for duty they just sign attendence Please...."
1261744622402973696,"Debating whether to attend the funeral of a loved one. I want to be there to say goodbye, but I know it’s likely not safe. I assume most, if any at all, will wear masks. It seems very disrespectful if I don’t go. I hate the impossible decisions #coronavirus requires!!"
1261666490253602818,"When wearing a mask, cover your mouth and nose and make sure it’s snug against your face.  #StayHomeDC "
1261675529540825088," Fauci's bad ""science"" caused the deaths. He gave bad info and hasn't been right about much. He said COVID was not transmitted human to human and don't wear a mask...remember???    China and WHO caused the world's problems with COVID 19 not Trump or any leader of any country"
1261461593696555008,"In case you didn't know you got it straight from the jackass's mouth, masks are the ""Symbol of Fear"". "
1261684862622355463,These university researchers are working on a face mask that could kill coronavirus on contact 
1261755959258603527,"Apparently covid must be over in Toronto cus driving by the lakeshore today I saw 100s upon 100s upon 100s of people hangin' out in groups, enjoying nice weather, letting their kids play with other kids, no one wearing a mask. They even blocked off two lanes of the street for it!"
1261660649714855937, You forgot one key prepositional phrase: Thank God this smart Girl Scout was wearing a mask when this creepy looming old man with tiny hands tried to breathe his germs all over her. #WearAMask #coronavirus #COVIDー19
1261658292729688065,"Just found out that due to my husband’s past medical history with his kidney disease, he is more likely than the average person to get COVID. This wouldn’t upset me so much if he wasn’t an essential worker, risking his health every day. Wear masks. Don’t be dicks."
1261688639848734721, REMINDER: Americans are dying asshole!!! If you've got nothing more important to do put your fucking phone down and make a mask for a first responder! JFC!!! 
1261705257454837764,Coronavirus masks a boon for crooks who hide their faces  via
1261550047289884672,"Book a set of 2 Face masks free on nurserylive. Let's prepare for life after lockdown. nurserylive is gifting 1 M face masks all over India. Social distancing + Face mask is Key. India Jeetega, Covid Harega! #COVID__19  via"
1261562452694536193,"Ever since #COVID hit with the gradual changes taking plce with masks being new normal and many more to come this movie is what I could relate to;living under ground, unable sustain ourselves more that a few minutes without a proper suite due to radiationthe prices of veggies"
1261655108049342466,"If you like Dr. Fauci because he facepalms when Trump says something stupid, take a moment to read what Dr. Fauci told about how risk of COVID spread was ""miniscule"" and his initial order to ""skip masks."" "
1261736152022880258,USA TODAY: Trump team seized masks I sent to health workers DOESN'T THIS FIT IN WITH TRUMP'S TACTICS OF STEALING CREDIT FROM OTHERS #TrumpDirtyTricks And Trump probably made a buck too  
1261710231802789888,"My friend, JK lost her brother to COVID-19 last night. This is the third member of her family to die in 3 weeks. Her brother. Her mother. Her aunt.  Stay home. Wear your mask. Wash your hands."
1261458820124950528," Enjoy your Camp David Vaycay! Some of the “guys” going there think they look “foolish” wearing masks!!! ( I know what you are thinking! Shhh we won’t tell them!) Anyway, have a nice healthy time. I’m sure there will be no Covid there-due to your Christianity and all. Have fun!"
1261736915570774019,"  Dear sir, My brother is ayush doctor in manikpur CHC(karvi dis.) working daily for 3 months without break in COVID-19 -Hospital incharge is corrupt -not providing mask and sanitizer -other staff not called for duty they just sign attendence Please..."
1261524971727147008," The Vietnamese took their mask-usage lead from Japan. As you know, Vietnam handled their Covid outbreak very well - no deaths."
1261510734111858688," Dotcom, If the fake news is scaring you about it, just quit watching it. There are plenty of Doctors who will attest to this being blown way out of proportion. You go ahead and wear your mask and become a hermit to a Covid flu that has killed much less people that the regular flu"
1261549607923773441," Atwater just declared itself a ""COVID sanctuary city"" and is opening up. No masks no social distancing. I would avoid that next new hotspot. The security guard at the city council meeting is mask less."
1261744704254812161,So... here ya' go... Former neurosurgeon says masks are ineffective against COVID-19 and can cause health problems 
1261713369448566784,"I don't understand what's so complicated about the rules in #NYC about #SocialDistance: wear a mask and stay 6' apart. THAT'S LITERALLY IT. Why is that hard to understand? If you can't do that, stay home. #coronavirus "
1261544482014724096,"Hello everyone, we hope you are observing all safety protocols to stop the spread of COVID-19. Wash your hands with soap under running water, sanitize your hands regularly, avoid social gathering and please always wear your face mask when stepping out. "
1261504612386787328,This is how you scare the gullible & get them to wear a mask
1261605236671643655, does not wear face masks in photos seen by citizens. The presidency has explained the Nigerian leader's reasons.  
1261484796607422465,"I'm in Brooklyn, there are people partying on the streets, not social distancing and not wearing masks. The quarantine is not over, coronavirus is still here, and it's people like you that are putting others at risk and will make quarantine last even longer. #NYCLockdown"
